name,activation
Ses01F_impro05_F007,3.0
Ses01F_impro05_F008,2.5
Ses01F_impro05_F009,2.5
Ses01F_impro05_F010,4.0
Ses01F_impro05_F011,4.5
Ses01F_impro05_F012,3.5
Ses01F_impro05_F013,2.5
Ses01F_impro05_F014,4.0
Ses01F_impro05_F015,4.5
Ses01F_impro05_F016,4.5
Ses01F_impro05_F017,5.0
Ses01F_impro05_F018,4.0
Ses01F_impro05_F019,4.0
Ses01F_impro05_F020,4.5
Ses01F_impro05_F021,4.5
Ses01F_impro05_F022,4.5
Ses01F_impro05_F023,3.0
Ses01F_impro05_F024,3.0
Ses01F_impro05_F025,4.5
Ses01F_impro05_F026,3.5
Ses01F_impro05_F027,2.5
Ses01F_impro05_F028,3.0
Ses01F_impro05_F029,3.0
Ses01F_impro05_F030,3.0
Ses01F_impro05_M000,2.5
Ses01F_impro05_M001,2.5
Ses01F_impro05_M002,2.5
Ses01F_impro05_M003,2.5
Ses01F_impro05_M004,1.5
Ses01F_impro05_M005,2.5
Ses01F_impro05_M006,2.5
Ses01F_impro05_M007,2.5
Ses01F_impro05_M008,2.5
Ses01F_impro05_M009,2.5
Ses01F_impro05_M010,2.5
Ses01F_impro05_M011,2.5
Ses01F_impro05_M012,2.0
Ses01F_impro05_M013,2.0
Ses01F_impro05_M014,2.5
Ses01F_impro05_M015,2.0
Ses01F_impro05_M016,2.5
Ses01F_impro05_M017,2.5
Ses01F_impro05_M018,3.5
Ses01F_impro05_M019,2.0
Ses01F_impro05_M020,2.0
Ses01F_impro05_M021,2.5
Ses01F_impro05_M022,2.0
Ses01F_impro05_M023,3.5
Ses01F_impro05_M024,3.0
Ses01F_impro05_M025,2.5
Ses01F_impro05_M026,2.5
Ses01F_impro05_M027,2.5
Ses01F_impro05_M028,2.5
Ses01F_impro05_M029,2.5
Ses01F_impro05_M030,2.5
Ses01F_impro05_M031,2.5
Ses01F_impro05_M032,2.5
Ses01F_impro05_M033,3.0
Ses01F_impro05_M034,2.5
Ses01F_impro05_M035,2.0
Ses01F_impro06_F000,2.0
Ses01F_impro06_F001,2.0
Ses01F_impro06_F002,1.5
Ses01F_impro06_F003,2.0
Ses01F_impro06_F004,2.0
Ses01F_impro06_F005,2.0
Ses01F_impro06_F006,3.0
Ses01F_impro06_F007,3.0
Ses01F_impro06_F008,3.5
Ses01F_impro06_F009,3.0
Ses01F_impro06_F010,2.5
Ses01F_impro06_F011,3.0
Ses01F_impro06_F012,3.5
Ses01F_impro06_F013,2.0
Ses01F_impro06_F014,3.0
Ses01F_impro06_F015,2.0
Ses01F_impro06_F016,3.0
Ses01F_impro06_F017,3.0
Ses01F_impro06_F018,3.0
Ses01F_impro06_F019,2.0
Ses01F_impro06_F020,3.0
Ses01F_impro06_F021,3.0
Ses01F_impro06_F022,3.0
Ses01F_impro06_F023,2.0
Ses01F_impro06_F024,2.0
Ses01F_impro06_F025,3.5
Ses01F_impro06_F026,3.0
Ses01F_impro06_F027,2.0
Ses01F_impro06_F028,3.5
Ses01F_impro06_M000,2.0
Ses01F_impro06_M001,3.0
Ses01F_impro06_M002,2.0
Ses01F_impro06_M003,2.0
Ses01F_impro06_M004,3.0
Ses01F_impro06_M005,2.0
Ses01F_impro06_M006,2.0
Ses01F_impro06_M007,2.0
Ses01F_impro06_M008,2.5
Ses01F_impro06_M009,2.5
Ses01F_impro06_M010,2.5
Ses01F_impro06_M011,2.0
Ses01F_impro06_M012,2.5
Ses01F_impro06_M013,2.5
Ses01F_impro06_M014,2.5
Ses01F_impro06_M015,3.0
Ses01F_impro06_M016,2.5
Ses01F_impro06_M017,3.0
Ses01F_impro07_F000,5.0
Ses01F_impro07_F001,4.5
Ses01F_impro07_F002,4.0
Ses01F_impro07_F003,4.5
Ses01F_impro07_F004,3.5
Ses01F_impro07_F005,4.5
Ses01F_impro07_F006,4.0
Ses01F_impro07_F007,4.0
Ses01F_impro07_F008,3.0
Ses01F_impro07_F009,3.0
Ses01F_impro07_F010,4.5
Ses01F_impro07_F011,3.5
Ses01F_impro07_F012,4.0
Ses01F_impro07_F013,4.0
Ses01F_impro07_F014,3.5
Ses01F_impro07_F015,4.0
Ses01F_impro07_F016,3.5
Ses01F_impro07_M000,3.0
Ses01F_impro07_M001,4.5
Ses01F_impro07_M002,4.0
Ses01F_impro07_M003,3.5
Ses01F_impro07_M004,4.0
Ses01F_impro07_M005,4.5
Ses01F_impro07_M006,4.5
Ses01F_impro07_M007,4.5
Ses01F_impro07_M008,3.0
Ses01F_impro07_M009,4.0
Ses01F_impro07_M010,3.5
Ses01F_impro07_M011,2.5
Ses01F_impro07_M012,2.5
Ses01F_impro07_M013,2.5
Ses01F_impro07_M014,4.5
Ses01F_impro07_M015,4.0
Ses01F_impro07_M016,4.0
Ses01F_impro07_M017,3.5
Ses01F_impro07_M018,3.0
Ses01F_impro07_M019,4.0
Ses01F_script01_1_F000,2.3333
Ses01F_script01_1_F001,2.3333
Ses01F_script01_1_F002,2.3333
Ses01F_script01_1_F003,3.0
Ses01F_script01_1_F004,2.0
Ses01F_script01_1_F005,1.6667
Ses01F_script01_1_F006,2.3333
Ses01F_script01_1_F007,3.6667
Ses01F_script01_1_F008,2.3333
Ses01F_script01_1_F009,2.6667
Ses01F_script01_1_F010,2.6667
Ses01F_script01_1_F011,3.3333
Ses01F_script01_1_F012,3.0
Ses01F_script01_1_F013,4.3333
Ses01F_script01_1_F014,1.6667
Ses01F_script01_1_F015,2.3333
Ses01F_script01_1_F016,2.6667
Ses01F_script01_1_F017,3.0
Ses01F_script01_1_F018,2.6667
Ses01F_script01_1_F019,2.6667
Ses01F_script01_1_F020,4.0
Ses01F_script01_1_F021,4.0
Ses01F_script01_1_F022,3.3333
Ses01F_script01_1_F023,2.6667
Ses01F_script01_1_F024,2.6667
Ses01F_script01_1_F025,3.3333
Ses01F_script01_1_F026,2.6667
Ses01F_script01_1_F027,2.3333
Ses01F_script01_1_F028,2.0
Ses01F_script01_1_F029,3.6667
Ses01F_script01_1_F030,2.0
Ses01F_script01_1_F031,2.3333
Ses01F_script01_1_F032,2.0
Ses01F_script01_1_F033,2.6667
Ses01F_script01_1_F034,2.6667
Ses01F_script01_1_F035,3.6667
Ses01F_script01_1_F036,4.0
Ses01F_script01_1_F037,4.3333
Ses01F_script01_1_F038,3.6667
Ses01F_script01_1_F039,3.0
Ses01F_script01_1_F040,2.6667
Ses01F_script01_1_F041,4.6667
Ses01F_script01_1_F042,4.0
Ses01F_script01_1_F043,2.3333
Ses01F_script01_1_F044,1.3333
Ses01F_script01_1_M000,1.6667
Ses01F_script01_1_M001,2.0
Ses01F_script01_1_M002,3.0
Ses01F_script01_1_M003,2.0
Ses01F_script01_1_M004,2.0
Ses01F_script01_1_M005,2.6667
Ses01F_script01_1_M006,2.6667
Ses01F_script01_1_M007,3.0
Ses01F_script01_1_M008,2.6667
Ses01F_script01_1_M009,3.6667
Ses01F_script01_1_M010,3.3333
Ses01F_script01_1_M011,2.3333
Ses01F_script01_1_M012,1.3333
Ses01F_script01_1_M013,2.3333
Ses01F_script01_1_M014,1.6667
Ses01F_script01_1_M015,1.6667
Ses01F_script01_1_M016,2.6667
Ses01F_script01_1_M017,2.6667
Ses01F_script01_1_M018,3.3333
Ses01F_script01_1_M019,4.3333
Ses01F_script01_1_M020,4.0
Ses01F_script01_1_M021,3.0
Ses01F_script01_1_M022,3.3333
Ses01F_script01_1_M023,2.0
Ses01F_script01_1_M024,1.6667
Ses01F_script01_1_M025,2.0
Ses01F_script01_1_M026,3.3333
Ses01F_script01_1_M027,2.6667
Ses01F_script01_1_M028,3.0
Ses01F_script01_1_M029,3.0
Ses01F_script01_1_M030,4.3333
Ses01F_script01_1_M031,2.0
Ses01F_script01_1_M032,3.6667
Ses01F_script01_1_M033,2.0
Ses01F_script01_1_M034,2.6667
Ses01F_script01_1_M035,2.3333
Ses01F_script01_1_M036,3.3333
Ses01F_script01_1_M037,4.0
Ses01F_script01_1_M038,3.6667
Ses01F_script01_1_M039,1.6667
Ses01F_script01_1_M040,1.6667
Ses01F_script01_1_M041,2.6667
Ses01F_script01_1_M042,2.6667
Ses01F_script01_1_M043,2.3333
Ses01F_script01_2_F000,2.5
Ses01F_script01_2_F001,2.0
Ses01F_script01_2_F002,2.5
Ses01F_script01_2_F003,2.5
Ses01F_script01_2_F004,2.5
Ses01F_script01_2_F005,3.5
Ses01F_script01_2_F006,4.0
Ses01F_script01_2_F007,4.5
Ses01F_script01_2_F008,4.5
Ses01F_script01_2_F009,2.0
Ses01F_script01_2_F010,3.5
Ses01F_script01_2_F011,3.5
Ses01F_script01_2_F012,4.5
Ses01F_script01_2_F013,4.5
Ses01F_script01_2_F014,3.0
Ses01F_script01_2_M000,2.5
Ses01F_script01_2_M001,3.0
Ses01F_script01_2_M002,3.0
Ses01F_script01_2_M003,3.5
Ses01F_script01_2_M004,3.0
Ses01F_script01_2_M005,2.5
Ses01F_script01_2_M006,3.5
Ses01F_script01_2_M007,3.5
Ses01F_script01_2_M008,3.5
Ses01F_script01_2_M009,3.0
Ses01F_script01_2_M010,2.5
Ses01F_script01_2_M011,2.0
Ses01F_script01_2_M012,2.0
Ses01F_script01_2_M013,2.5
Ses01F_script01_2_M014,3.0
Ses01F_script01_2_M015,4.0
Ses01F_script01_2_M016,3.5
Ses01F_script01_2_M017,4.0
Ses01F_script01_3_F000,1.6667
Ses01F_script01_3_F001,2.0
Ses01F_script01_3_F002,2.0
Ses01F_script01_3_F003,1.3333
Ses01F_script01_3_F004,2.6667
Ses01F_script01_3_F005,2.0
Ses01F_script01_3_F006,2.3333
Ses01F_script01_3_F007,1.3333
Ses01F_script01_3_F008,2.6667
Ses01F_script01_3_F009,3.0
Ses01F_script01_3_F010,3.6667
Ses01F_script01_3_F011,4.0
Ses01F_script01_3_F012,4.3333
Ses01F_script01_3_F013,3.3333
Ses01F_script01_3_F014,2.6667
Ses01F_script01_3_F015,2.0
Ses01F_script01_3_F016,1.6667
Ses01F_script01_3_F017,3.0
Ses01F_script01_3_F018,4.3333
Ses01F_script01_3_F019,4.0
Ses01F_script01_3_F020,3.6667
Ses01F_script01_3_F021,2.3333
Ses01F_script01_3_F022,1.6667
Ses01F_script01_3_F023,2.3333
Ses01F_script01_3_F024,2.3333
Ses01F_script01_3_F025,1.6667
Ses01F_script01_3_F026,1.6667
Ses01F_script01_3_F027,2.3333
Ses01F_script01_3_F028,2.3333
Ses01F_script01_3_F029,2.0
Ses01F_script01_3_F030,2.3333
Ses01F_script01_3_F031,1.0
Ses01F_script01_3_F032,1.3333
Ses01F_script01_3_F033,2.3333
Ses01F_script01_3_F034,2.6667
Ses01F_script01_3_F035,2.0
Ses01F_script01_3_M000,1.6667
Ses01F_script01_3_M001,2.0
Ses01F_script01_3_M002,1.6667
Ses01F_script01_3_M003,2.6667
Ses01F_script01_3_M004,3.0
Ses01F_script01_3_M005,2.6667
Ses01F_script01_3_M006,1.6667
Ses01F_script01_3_M007,3.0
Ses01F_script01_3_M008,3.6667
Ses01F_script01_3_M009,4.0
Ses01F_script01_3_M010,4.0
Ses01F_script01_3_M011,3.3333
Ses01F_script01_3_M012,2.6667
Ses01F_script01_3_M013,2.3333
Ses01F_script01_3_M014,3.3333
Ses01F_script01_3_M015,4.0
Ses01F_script01_3_M016,3.3333
Ses01F_script01_3_M017,3.0
Ses01F_script01_3_M018,4.3333
Ses01F_script01_3_M019,3.3333
Ses01F_script01_3_M020,3.6667
Ses01F_script01_3_M021,2.6667
Ses01F_script01_3_M022,2.0
Ses01F_script01_3_M023,3.0
Ses01F_script01_3_M024,3.0
Ses01F_script01_3_M025,3.0
Ses01F_script01_3_M026,1.6667
Ses01F_script01_3_M027,1.6667
Ses01F_script01_3_M028,3.3333
Ses01F_script01_3_M029,2.3333
Ses01F_script01_3_M030,2.3333
Ses01F_script01_3_M031,2.6667
Ses01F_script01_3_M032,3.0
Ses01F_script01_3_M033,3.3333
Ses01F_script01_3_M034,3.0
Ses01F_script01_3_M035,3.6667
Ses01F_script01_3_M036,2.6667
Ses01F_script01_3_M037,2.3333
Ses01F_script01_3_M038,3.0
Ses01F_script02_1_F000,2.0
Ses01F_script02_1_F001,2.0
Ses01F_script02_1_F002,2.0
Ses01F_script02_1_F003,3.0
Ses01F_script02_1_F004,3.0
Ses01F_script02_1_F005,3.5
Ses01F_script02_1_F006,3.5
Ses01F_script02_1_F007,3.5
Ses01F_script02_1_F008,1.5
Ses01F_script02_1_F009,2.5
Ses01F_script02_1_F010,2.0
Ses01F_script02_1_F011,2.0
Ses01F_script02_1_F012,3.0
Ses01F_script02_1_F013,3.5
Ses01F_script02_1_F014,2.5
Ses01F_script02_1_F015,1.5
Ses01F_script02_1_F016,1.5
Ses01F_script02_1_F017,3.5
Ses01F_script02_1_F018,2.0
Ses01F_script02_1_F019,2.0
Ses01F_script02_1_F020,1.5
Ses01F_script02_1_F021,2.0
Ses01F_script02_1_F022,3.0
Ses01F_script02_1_F023,2.5
Ses01F_script02_1_F024,1.5
Ses01F_script02_1_F025,1.5
Ses01F_script02_1_M000,3.5
Ses01F_script02_1_M001,3.0
Ses01F_script02_1_M002,4.5
Ses01F_script02_1_M003,2.5
Ses01F_script02_1_M004,3.0
Ses01F_script02_1_M005,4.0
Ses01F_script02_1_M006,2.5
Ses01F_script02_1_M007,2.5
Ses01F_script02_1_M008,2.0
Ses01F_script02_1_M009,2.0
Ses01F_script02_1_M010,3.5
Ses01F_script02_1_M011,2.0
Ses01F_script02_1_M012,3.0
Ses01F_script02_1_M013,3.0
Ses01F_script02_1_M014,3.0
Ses01F_script02_1_M015,3.0
Ses01F_script02_1_M016,4.0
Ses01F_script02_1_M017,2.5
Ses01F_script02_1_M018,3.0
Ses01F_script02_1_M019,3.5
Ses01F_script02_1_M020,3.0
Ses01F_script02_1_M021,2.0
Ses01F_script02_1_M022,3.0
Ses01F_script02_1_M023,2.0
Ses01F_script02_1_M024,3.0
Ses01F_script02_1_M025,3.0
Ses01F_script02_1_M026,3.0
Ses01F_script02_1_M027,3.0
Ses01F_script02_1_M028,3.0
Ses01F_script02_1_M029,3.0
Ses01F_script02_1_M030,3.5
Ses01F_script02_1_M031,3.0
Ses01F_script02_1_M032,2.5
Ses01F_script02_1_M033,2.5
Ses01F_script02_1_M034,2.5
Ses01F_script02_1_M035,4.0
Ses01F_script02_1_M036,3.5
Ses01F_script02_1_M037,3.5
Ses01F_script02_1_M038,3.5
Ses01F_script02_1_M039,3.5
Ses01F_script02_1_M040,3.5
Ses01F_script02_1_M041,3.5
Ses01F_script02_1_M042,3.0
Ses01F_script02_1_M043,3.0
Ses01F_script02_1_M044,2.0
Ses01F_script02_2_F000,1.5
Ses01F_script02_2_F001,2.0
Ses01F_script02_2_F002,2.5
Ses01F_script02_2_F003,3.5
Ses01F_script02_2_F004,3.5
Ses01F_script02_2_F005,2.5
Ses01F_script02_2_F006,4.5
Ses01F_script02_2_F007,3.5
Ses01F_script02_2_F008,3.0
Ses01F_script02_2_F009,4.0
Ses01F_script02_2_F010,3.5
Ses01F_script02_2_F011,4.0
Ses01F_script02_2_F012,4.0
Ses01F_script02_2_F013,1.5
Ses01F_script02_2_F014,3.0
Ses01F_script02_2_F015,2.5
Ses01F_script02_2_F016,4.5
Ses01F_script02_2_F017,2.0
Ses01F_script02_2_F018,2.0
Ses01F_script02_2_F019,2.5
Ses01F_script02_2_F020,2.5
Ses01F_script02_2_F021,2.5
Ses01F_script02_2_F022,1.5
Ses01F_script02_2_F023,1.5
Ses01F_script02_2_F024,2.0
Ses01F_script02_2_F025,2.0
Ses01F_script02_2_F026,1.5
Ses01F_script02_2_F027,2.0
Ses01F_script02_2_F028,2.5
Ses01F_script02_2_F029,3.0
Ses01F_script02_2_F030,3.0
Ses01F_script02_2_F031,3.0
Ses01F_script02_2_F032,3.0
Ses01F_script02_2_F033,2.5
Ses01F_script02_2_F034,2.0
Ses01F_script02_2_F035,2.5
Ses01F_script02_2_F036,2.5
Ses01F_script02_2_F037,3.5
Ses01F_script02_2_F038,3.5
Ses01F_script02_2_F039,3.5
Ses01F_script02_2_F040,1.5
Ses01F_script02_2_F041,1.5
Ses01F_script02_2_F042,2.0
Ses01F_script02_2_F043,3.0
Ses01F_script02_2_F044,2.5
Ses01F_script02_2_F045,1.5
Ses01F_script02_2_F046,1.5
Ses01F_script02_2_F047,2.5
Ses01F_script02_2_M000,3.5
Ses01F_script02_2_M001,2.5
Ses01F_script02_2_M002,2.5
Ses01F_script02_2_M003,2.5
Ses01F_script02_2_M004,3.5
Ses01F_script02_2_M005,2.5
Ses01F_script02_2_M006,2.0
Ses01F_script02_2_M007,3.0
Ses01F_script02_2_M008,3.5
Ses01F_script02_2_M009,3.5
Ses01F_script02_2_M010,2.5
Ses01F_script02_2_M011,3.0
Ses01F_script02_2_M012,3.0
Ses01F_script02_2_M013,3.5
Ses01F_script02_2_M014,2.5
Ses01F_script02_2_M015,2.5
Ses01F_script02_2_M016,2.5
Ses01F_script02_2_M017,2.5
Ses01F_script02_2_M018,2.5
Ses01F_script02_2_M019,3.0
Ses01F_script02_2_M020,2.5
Ses01F_script02_2_M021,2.5
Ses01F_script02_2_M022,2.5
Ses01F_script02_2_M023,2.5
Ses01F_script02_2_M024,2.5
Ses01F_script02_2_M025,3.0
Ses01F_script02_2_M026,2.5
Ses01F_script02_2_M027,2.5
Ses01F_script02_2_M028,3.0
Ses01F_script02_2_M029,3.0
Ses01F_script02_2_M030,3.5
Ses01F_script02_2_M031,3.5
Ses01F_script02_2_M032,4.0
Ses01F_script02_2_M033,1.5
Ses01F_script02_2_M034,1.5
Ses01F_script02_2_M035,1.5
Ses01F_script02_2_M036,3.5
Ses01F_script02_2_M037,2.0
Ses01F_script02_2_M038,2.5
Ses01F_script02_2_M039,1.5
Ses01F_script02_2_M040,2.5
Ses01F_script02_2_M041,2.5
Ses01F_script02_2_M042,2.5
Ses01F_script02_2_M043,2.0
Ses01F_script02_2_M044,2.5
Ses01F_script02_2_M045,2.5
Ses01F_script02_2_M046,2.5
Ses01F_script02_2_M047,2.5
Ses01F_script02_2_M048,3.0
Ses01F_script02_2_M049,2.5
Ses01F_script03_1_F000,3.5
Ses01F_script03_1_F001,3.5
Ses01F_script03_1_F002,3.5
Ses01F_script03_1_F003,2.0
Ses01F_script03_1_F004,2.5
Ses01F_script03_1_F005,4.0
Ses01F_script03_1_F006,3.0
Ses01F_script03_1_F007,3.0
Ses01F_script03_1_F008,2.0
Ses01F_script03_1_F009,3.0
Ses01F_script03_1_F010,3.5
Ses01F_script03_1_F011,3.5
Ses01F_script03_1_F012,2.0
Ses01F_script03_1_F013,2.5
Ses01F_script03_1_F014,2.0
Ses01F_script03_1_F015,2.0
Ses01F_script03_1_F016,2.0
Ses01F_script03_1_F017,3.0
Ses01F_script03_1_F018,3.5
Ses01F_script03_1_F019,2.5
Ses01F_script03_1_F020,4.0
Ses01F_script03_1_F021,3.0
Ses01F_script03_1_F022,3.5
Ses01F_script03_1_F023,2.0
Ses01F_script03_1_F024,4.5
Ses01F_script03_1_F025,3.5
Ses01F_script03_1_F026,2.0
Ses01F_script03_1_F027,3.5
Ses01F_script03_1_F028,2.5
Ses01F_script03_1_F029,4.0
Ses01F_script03_1_F030,3.0
Ses01F_script03_1_F031,3.0
Ses01F_script03_1_M000,4.0
Ses01F_script03_1_M001,3.5
Ses01F_script03_1_M002,3.0
Ses01F_script03_1_M003,3.5
Ses01F_script03_1_M004,3.5
Ses01F_script03_1_M005,3.0
Ses01F_script03_1_M006,3.0
Ses01F_script03_1_M007,3.5
Ses01F_script03_1_M008,3.0
Ses01F_script03_1_M009,2.5
Ses01F_script03_1_M010,3.5
Ses01F_script03_1_M011,2.5
Ses01F_script03_1_M012,2.5
Ses01F_script03_1_M013,3.5
Ses01F_script03_1_M014,3.0
Ses01F_script03_1_M015,3.5
Ses01F_script03_1_M016,3.0
Ses01F_script03_1_M017,2.5
Ses01F_script03_1_M018,3.0
Ses01F_script03_1_M019,3.0
Ses01F_script03_1_M020,2.5
Ses01F_script03_1_M021,3.0
Ses01F_script03_1_M022,3.0
Ses01F_script03_1_M023,2.0
Ses01F_script03_1_M024,3.5
Ses01F_script03_1_M025,3.0
Ses01F_script03_1_M026,3.5
Ses01F_script03_1_M027,3.5
Ses01F_script03_1_M028,3.5
Ses01F_script03_1_M029,3.0
Ses01F_script03_1_M030,2.0
Ses01F_script03_1_M031,2.0
Ses01F_script03_1_M032,2.0
Ses01F_script03_1_M033,3.0
Ses01F_script03_1_M034,3.5
Ses01F_script03_1_M035,3.0
Ses01F_script03_1_M036,4.5
Ses01F_script03_1_M037,2.5
Ses01F_script03_1_M038,2.5
Ses01F_script03_2_F000,3.0
Ses01F_script03_2_F001,3.5
Ses01F_script03_2_F002,3.5
Ses01F_script03_2_F003,2.5
Ses01F_script03_2_F004,3.5
Ses01F_script03_2_F005,2.0
Ses01F_script03_2_F006,3.0
Ses01F_script03_2_F007,3.0
Ses01F_script03_2_F008,2.5
