name,speaker
Ses01F_impro05_F010,01F
Ses01F_impro05_F011,01F
Ses01F_impro05_F012,01F
Ses01F_impro05_F013,01F
Ses01F_impro05_F014,01F
Ses01F_impro05_F015,01F
Ses01F_impro05_F016,01F
Ses01F_impro05_F017,01F
Ses01F_impro05_F018,01F
Ses01F_impro05_F019,01F
Ses01F_impro05_F020,01F
Ses01F_impro05_F021,01F
Ses01F_impro05_F022,01F
Ses01F_impro05_F023,01F
Ses01F_impro05_F024,01F
Ses01F_impro05_F025,01F
Ses01F_impro05_F026,01F
Ses01F_impro05_F027,01F
Ses01F_impro05_F028,01F
Ses01F_impro05_F029,01F
Ses01F_impro05_F030,01F
Ses01F_impro05_M000,01F
Ses01F_impro05_M001,01F
Ses01F_impro05_M002,01F
Ses01F_impro05_M003,01F
Ses01F_impro05_M004,01F
Ses01F_impro05_M005,01F
Ses01F_impro05_M006,01F
Ses01F_impro05_M007,01F
Ses01F_impro05_M008,01F
Ses01F_impro05_M009,01F
Ses01F_impro05_M010,01F
Ses01F_impro05_M011,01F
Ses01F_impro05_M012,01F
Ses01F_impro05_M013,01F
Ses01F_impro05_M014,01F
Ses01F_impro05_M015,01F
Ses01F_impro05_M016,01F
Ses01F_impro05_M017,01F
Ses01F_impro05_M018,01F
Ses01F_impro05_M019,01F
Ses01F_impro05_M020,01F
Ses01F_impro05_M021,01F
Ses01F_impro05_M022,01F
Ses01F_impro05_M023,01F
Ses01F_impro05_M024,01F
Ses01F_impro05_M025,01F
Ses01F_impro05_M026,01F
Ses01F_impro05_M027,01F
Ses01F_impro05_M028,01F
Ses01F_impro05_M029,01F
Ses01F_impro05_M030,01F
Ses01F_impro05_M031,01F
Ses01F_impro05_M032,01F
Ses01F_impro05_M033,01F
Ses01F_impro05_M034,01F
Ses01F_impro05_M035,01F
Ses01F_impro06_F000,01F
Ses01F_impro06_F001,01F
Ses01F_impro06_F002,01F
Ses01F_impro06_F003,01F
Ses01F_impro06_F004,01F
Ses01F_impro06_F005,01F
Ses01F_impro06_F006,01F
Ses01F_impro06_F007,01F
Ses01F_impro06_F008,01F
Ses01F_impro06_F009,01F
Ses01F_impro06_F010,01F
Ses01F_impro06_F011,01F
Ses01F_impro06_F012,01F
Ses01F_impro06_F013,01F
Ses01F_impro06_F014,01F
Ses01F_impro06_F015,01F
Ses01F_impro06_F016,01F
Ses01F_impro06_F017,01F
Ses01F_impro06_F018,01F
Ses01F_impro06_F019,01F
Ses01F_impro06_F020,01F
Ses01F_impro06_F021,01F
Ses01F_impro06_F022,01F
Ses01F_impro06_F023,01F
Ses01F_impro06_F024,01F
Ses01F_impro06_F025,01F
Ses01F_impro06_F026,01F
Ses01F_impro06_F027,01F
Ses01F_impro06_F028,01F
Ses01F_impro06_M000,01F
Ses01F_impro06_M001,01F
Ses01F_impro06_M002,01F
Ses01F_impro06_M003,01F
Ses01F_impro06_M004,01F
Ses01F_impro06_M005,01F
Ses01F_impro06_M006,01F
Ses01F_impro06_M007,01F
Ses01F_impro06_M008,01F
Ses01F_impro06_M009,01F
Ses01F_impro06_M010,01F
Ses01F_impro06_M011,01F
Ses01F_impro06_M012,01F
Ses01F_impro06_M013,01F
Ses01F_impro06_M014,01F
Ses01F_impro06_M015,01F
Ses01F_impro06_M016,01F
Ses01F_impro06_M017,01F
Ses01F_impro07_F000,01F
Ses01F_impro07_F001,01F
Ses01F_impro07_F002,01F
Ses01F_impro07_F003,01F
Ses01F_impro07_F004,01F
Ses01F_impro07_F005,01F
Ses01F_impro07_F006,01F
Ses01F_impro07_F007,01F
Ses01F_impro07_F008,01F
Ses01F_impro07_F009,01F
Ses01F_impro07_F010,01F
Ses01F_impro07_F011,01F
Ses01F_impro07_F012,01F
Ses01F_impro07_F013,01F
Ses01F_impro07_F014,01F
Ses01F_impro07_F015,01F
Ses01F_impro07_F016,01F
Ses01F_impro07_M000,01F
Ses01F_impro07_M001,01F
Ses01F_impro07_M002,01F
Ses01F_impro07_M003,01F
Ses01F_impro07_M004,01F
Ses01F_impro07_M005,01F
Ses01F_impro07_M006,01F
Ses01F_impro07_M007,01F
Ses01F_impro07_M008,01F
Ses01F_impro07_M009,01F
Ses01F_impro07_M010,01F
Ses01F_impro07_M011,01F
Ses01F_impro07_M012,01F
Ses01F_impro07_M013,01F
Ses01F_impro07_M014,01F
Ses01F_impro07_M015,01F
Ses01F_impro07_M016,01F
Ses01F_impro07_M017,01F
Ses01F_impro07_M018,01F
Ses01F_impro07_M019,01F
Ses01F_script01_1_F000,01F
Ses01F_script01_1_F001,01F
Ses01F_script01_1_F002,01F
Ses01F_script01_1_F003,01F
Ses01F_script01_1_F004,01F
Ses01F_script01_1_F005,01F
Ses01F_script01_1_F006,01F
Ses01F_script01_1_F007,01F
Ses01F_script01_1_F008,01F
Ses01F_script01_1_F009,01F
Ses01F_script01_1_F010,01F
Ses01F_script01_1_F011,01F
Ses01F_script01_1_F012,01F
Ses01F_script01_1_F013,01F
Ses01F_script01_1_F014,01F
Ses01F_script01_1_F015,01F
Ses01F_script01_1_F016,01F
Ses01F_script01_1_F017,01F
Ses01F_script01_1_F018,01F
Ses01F_script01_1_F019,01F
Ses01F_script01_1_F020,01F
Ses01F_script01_1_F021,01F
Ses01F_script01_1_F022,01F
Ses01F_script01_1_F023,01F
Ses01F_script01_1_F024,01F
Ses01F_script01_1_F025,01F
Ses01F_script01_1_F026,01F
Ses01F_script01_1_F027,01F
Ses01F_script01_1_F028,01F
Ses01F_script01_1_F029,01F
Ses01F_script01_1_F030,01F
Ses01F_script01_1_F031,01F
Ses01F_script01_1_F032,01F
Ses01F_script01_1_F033,01F
Ses01F_script01_1_F034,01F
Ses01F_script01_1_F035,01F
Ses01F_script01_1_F036,01F
Ses01F_script01_1_F037,01F
Ses01F_script01_1_F038,01F
Ses01F_script01_1_F039,01F
Ses01F_script01_1_F040,01F
Ses01F_script01_1_F041,01F
Ses01F_script01_1_F042,01F
Ses01F_script01_1_F043,01F
Ses01F_script01_1_F044,01F
Ses01F_script01_1_M000,01F
Ses01F_script01_1_M001,01F
Ses01F_script01_1_M002,01F
Ses01F_script01_1_M003,01F
Ses01F_script01_1_M004,01F
Ses01F_script01_1_M005,01F
Ses01F_script01_1_M006,01F
Ses01F_script01_1_M007,01F
Ses01F_script01_1_M008,01F
Ses01F_script01_1_M009,01F
Ses01F_script01_1_M010,01F
Ses01F_script01_1_M011,01F
Ses01F_script01_1_M012,01F
Ses01F_script01_1_M013,01F
Ses01F_script01_1_M014,01F
Ses01F_script01_1_M015,01F
Ses01F_script01_1_M016,01F
Ses01F_script01_1_M017,01F
Ses01F_script01_1_M018,01F
Ses01F_script01_1_M019,01F
Ses01F_script01_1_M020,01F
Ses01F_script01_1_M021,01F
Ses01F_script01_1_M022,01F
Ses01F_script01_1_M023,01F
Ses01F_script01_1_M024,01F
Ses01F_script01_1_M025,01F
Ses01F_script01_1_M026,01F
Ses01F_script01_1_M027,01F
Ses01F_script01_1_M028,01F
Ses01F_script01_1_M029,01F
Ses01F_script01_1_M030,01F
Ses01F_script01_1_M031,01F
Ses01F_script01_1_M032,01F
Ses01F_script01_1_M033,01F
Ses01F_script01_1_M034,01F
Ses01F_script01_1_M035,01F
Ses01F_script01_1_M036,01F
Ses01F_script01_1_M037,01F
Ses01F_script01_1_M038,01F
Ses01F_script01_1_M039,01F
Ses01F_script01_1_M040,01F
Ses01F_script01_1_M041,01F
Ses01F_script01_1_M042,01F
Ses01F_script01_1_M043,01F
Ses01F_script01_2_F000,01F
Ses01F_script01_2_F001,01F
Ses01F_script01_2_F002,01F
Ses01F_script01_2_F003,01F
Ses01F_script01_2_F004,01F
Ses01F_script01_2_F005,01F
Ses01F_script01_2_F006,01F
Ses01F_script01_2_F007,01F
Ses01F_script01_2_F008,01F
Ses01F_script01_2_F009,01F
Ses01F_script01_2_F010,01F
Ses01F_script01_2_F011,01F
Ses01F_script01_2_F012,01F
Ses01F_script01_2_F013,01F
Ses01F_script01_2_F014,01F
Ses01F_script01_2_M000,01F
Ses01F_script01_2_M001,01F
Ses01F_script01_2_M002,01F
Ses01F_script01_2_M003,01F
Ses01F_script01_2_M004,01F
Ses01F_script01_2_M005,01F
Ses01F_script01_2_M006,01F
Ses01F_script01_2_M007,01F
Ses01F_script01_2_M008,01F
Ses01F_script01_2_M009,01F
Ses01F_script01_2_M010,01F
Ses01F_script01_2_M011,01F
Ses01F_script01_2_M012,01F
Ses01F_script01_2_M013,01F
Ses01F_script01_2_M014,01F
Ses01F_script01_2_M015,01F
Ses01F_script01_2_M016,01F
Ses01F_script01_2_M017,01F
Ses01F_script01_3_F000,01F
Ses01F_script01_3_F001,01F
Ses01F_script01_3_F002,01F
Ses01F_script01_3_F003,01F
Ses01F_script01_3_F004,01F
Ses01F_script01_3_F005,01F
Ses01F_script01_3_F006,01F
Ses01F_script01_3_F007,01F
Ses01F_script01_3_F008,01F
Ses01F_script01_3_F009,01F
Ses01F_script01_3_F010,01F
Ses01F_script01_3_F011,01F
Ses01F_script01_3_F012,01F
Ses01F_script01_3_F013,01F
Ses01F_script01_3_F014,01F
Ses01F_script01_3_F015,01F
Ses01F_script01_3_F016,01F
Ses01F_script01_3_F017,01F
Ses01F_script01_3_F018,01F
Ses01F_script01_3_F019,01F
Ses01F_script01_3_F020,01F
Ses01F_script01_3_F021,01F
Ses01F_script01_3_F022,01F
Ses01F_script01_3_F023,01F
Ses01F_script01_3_F024,01F
Ses01F_script01_3_F025,01F
Ses01F_script01_3_F026,01F
Ses01F_script01_3_F027,01F
Ses01F_script01_3_F028,01F
Ses01F_script01_3_F029,01F
Ses01F_script01_3_F030,01F
Ses01F_script01_3_F031,01F
Ses01F_script01_3_F032,01F
Ses01F_script01_3_F033,01F
Ses01F_script01_3_F034,01F
Ses01F_script01_3_F035,01F
Ses01F_script01_3_M000,01F
Ses01F_script01_3_M001,01F
Ses01F_script01_3_M002,01F
Ses01F_script01_3_M003,01F
Ses01F_script01_3_M004,01F
Ses01F_script01_3_M005,01F
Ses01F_script01_3_M006,01F
Ses01F_script01_3_M007,01F
Ses01F_script01_3_M008,01F
Ses01F_script01_3_M009,01F
Ses01F_script01_3_M010,01F
Ses01F_script01_3_M011,01F
Ses01F_script01_3_M012,01F
Ses01F_script01_3_M013,01F
Ses01F_script01_3_M014,01F
Ses01F_script01_3_M015,01F
Ses01F_script01_3_M016,01F
Ses01F_script01_3_M017,01F
Ses01F_script01_3_M018,01F
Ses01F_script01_3_M019,01F
Ses01F_script01_3_M020,01F
Ses01F_script01_3_M021,01F
Ses01F_script01_3_M022,01F
Ses01F_script01_3_M023,01F
Ses01F_script01_3_M024,01F
Ses01F_script01_3_M025,01F
Ses01F_script01_3_M026,01F
Ses01F_script01_3_M027,01F
Ses01F_script01_3_M028,01F
Ses01F_script01_3_M029,01F
Ses01F_script01_3_M030,01F
Ses01F_script01_3_M031,01F
Ses01F_script01_3_M032,01F
Ses01F_script01_3_M033,01F
Ses01F_script01_3_M034,01F
Ses01F_script01_3_M035,01F
Ses01F_script01_3_M036,01F
Ses01F_script01_3_M037,01F
Ses01F_script01_3_M038,01F
Ses01F_script02_1_F000,01F
Ses01F_script02_1_F001,01F
Ses01F_script02_1_F002,01F
Ses01F_script02_1_F003,01F
Ses01F_script02_1_F004,01F
Ses01F_script02_1_F005,01F
Ses01F_script02_1_F006,01F
Ses01F_script02_1_F007,01F
Ses01F_script02_1_F008,01F
Ses01F_script02_1_F009,01F
Ses01F_script02_1_F010,01F
Ses01F_script02_1_F011,01F
Ses01F_script02_1_F012,01F
Ses01F_script02_1_F013,01F
Ses01F_script02_1_F014,01F
Ses01F_script02_1_F015,01F
Ses01F_script02_1_F016,01F
Ses01F_script02_1_F017,01F
Ses01F_script02_1_F018,01F
Ses01F_script02_1_F019,01F
Ses01F_script02_1_F020,01F
Ses01F_script02_1_F021,01F
Ses01F_script02_1_F022,01F
Ses01F_script02_1_F023,01F
Ses01F_script02_1_F024,01F
Ses01F_script02_1_F025,01F
Ses01F_script02_1_M000,01F
Ses01F_script02_1_M001,01F
Ses01F_script02_1_M002,01F
Ses01F_script02_1_M003,01F
Ses01F_script02_1_M004,01F
Ses01F_script02_1_M005,01F
Ses01F_script02_1_M006,01F
Ses01F_script02_1_M007,01F
Ses01F_script02_1_M008,01F
Ses01F_script02_1_M009,01F
Ses01F_script02_1_M010,01F
Ses01F_script02_1_M011,01F
Ses01F_script02_1_M012,01F
Ses01F_script02_1_M013,01F
Ses01F_script02_1_M014,01F
Ses01F_script02_1_M015,01F
Ses01F_script02_1_M016,01F
Ses01F_script02_1_M017,01F
Ses01F_script02_1_M018,01F
Ses01F_script02_1_M019,01F
Ses01F_script02_1_M020,01F
Ses01F_script02_1_M021,01F
Ses01F_script02_1_M022,01F
Ses01F_script02_1_M023,01F
Ses01F_script02_1_M024,01F
Ses01F_script02_1_M025,01F
Ses01F_script02_1_M026,01F
Ses01F_script02_1_M027,01F
Ses01F_script02_1_M028,01F
Ses01F_script02_1_M029,01F
Ses01F_script02_1_M030,01F
Ses01F_script02_1_M031,01F
Ses01F_script02_1_M032,01F
Ses01F_script02_1_M033,01F
Ses01F_script02_1_M034,01F
Ses01F_script02_1_M035,01F
Ses01F_script02_1_M036,01F
Ses01F_script02_1_M037,01F
Ses01F_script02_1_M038,01F
Ses01F_script02_1_M039,01F
Ses01F_script02_1_M040,01F
Ses01F_script02_1_M041,01F
Ses01F_script02_1_M042,01F
Ses01F_script02_1_M043,01F
Ses01F_script02_1_M044,01F
Ses01F_script02_2_F000,01F
Ses01F_script02_2_F001,01F
Ses01F_script02_2_F002,01F
Ses01F_script02_2_F003,01F
Ses01F_script02_2_F004,01F
Ses01F_script02_2_F005,01F
Ses01F_script02_2_F006,01F
Ses01F_script02_2_F007,01F
Ses01F_script02_2_F008,01F
Ses01F_script02_2_F009,01F
Ses01F_script02_2_F010,01F
Ses01F_script02_2_F011,01F
Ses01F_script02_2_F012,01F
Ses01F_script02_2_F013,01F
Ses01F_script02_2_F014,01F
Ses01F_script02_2_F015,01F
Ses01F_script02_2_F016,01F
Ses01F_script02_2_F017,01F
Ses01F_script02_2_F018,01F
Ses01F_script02_2_F019,01F
Ses01F_script02_2_F020,01F
Ses01F_script02_2_F021,01F
Ses01F_script02_2_F022,01F
Ses01F_script02_2_F023,01F
Ses01F_script02_2_F024,01F
Ses01F_script02_2_F025,01F
Ses01F_script02_2_F026,01F
Ses01F_script02_2_F027,01F
Ses01F_script02_2_F028,01F
Ses01F_script02_2_F029,01F
Ses01F_script02_2_F030,01F
Ses01F_script02_2_F031,01F
Ses01F_script02_2_F032,01F
Ses01F_script02_2_F033,01F
Ses01F_script02_2_F034,01F
Ses01F_script02_2_F035,01F
Ses01F_script02_2_F036,01F
Ses01F_script02_2_F037,01F
Ses01F_script02_2_F038,01F
Ses01F_script02_2_F039,01F
Ses01F_script02_2_F040,01F
Ses01F_script02_2_F041,01F
Ses01F_script02_2_F042,01F
Ses01F_script02_2_F043,01F
Ses01F_script02_2_F044,01F
Ses01F_script02_2_F045,01F
Ses01F_script02_2_F046,01F
Ses01F_script02_2_F047,01F
Ses01F_script02_2_M000,01F
Ses01F_script02_2_M001,01F
Ses01F_script02_2_M002,01F
Ses01F_script02_2_M003,01F
Ses01F_script02_2_M004,01F
Ses01F_script02_2_M005,01F
Ses01F_script02_2_M006,01F
Ses01F_script02_2_M007,01F
Ses01F_script02_2_M008,01F
Ses01F_script02_2_M009,01F
Ses01F_script02_2_M010,01F
Ses01F_script02_2_M011,01F
Ses01F_script02_2_M012,01F
Ses01F_script02_2_M013,01F
Ses01F_script02_2_M014,01F
Ses01F_script02_2_M015,01F
Ses01F_script02_2_M016,01F
Ses01F_script02_2_M017,01F
Ses01F_script02_2_M018,01F
Ses01F_script02_2_M019,01F
Ses01F_script02_2_M020,01F
Ses01F_script02_2_M021,01F
Ses01F_script02_2_M022,01F
Ses01F_script02_2_M023,01F
Ses01F_script02_2_M024,01F
Ses01F_script02_2_M025,01F
Ses01F_script02_2_M026,01F
Ses01F_script02_2_M027,01F
Ses01F_script02_2_M028,01F
Ses01F_script02_2_M029,01F
Ses01F_script02_2_M030,01F
Ses01F_script02_2_M031,01F
Ses01F_script02_2_M032,01F
Ses01F_script02_2_M033,01F
Ses01F_script02_2_M034,01F
Ses01F_script02_2_M035,01F
Ses01F_script02_2_M036,01F
Ses01F_script02_2_M037,01F
Ses01F_script02_2_M038,01F
Ses01F_script02_2_M039,01F
Ses01F_script02_2_M040,01F
Ses01F_script02_2_M041,01F
Ses01F_script02_2_M042,01F
Ses01F_script02_2_M043,01F
Ses01F_script02_2_M044,01F
Ses01F_script02_2_M045,01F
Ses01F_script02_2_M046,01F
Ses01F_script02_2_M047,01F
Ses01F_script02_2_M048,01F
Ses01F_script02_2_M049,01F
Ses01F_script03_1_F000,01F
Ses01F_script03_1_F001,01F
Ses01F_script03_1_F002,01F
Ses01F_script03_1_F003,01F
Ses01F_script03_1_F004,01F
Ses01F_script03_1_F005,01F
Ses01F_script03_1_F006,01F
Ses01F_script03_1_F007,01F
Ses01F_script03_1_F008,01F
Ses01F_script03_1_F009,01F
Ses01F_script03_1_F010,01F
Ses01F_script03_1_F011,01F
Ses01F_script03_1_F012,01F
Ses01F_script03_1_F013,01F
Ses01F_script03_1_F014,01F
Ses01F_script03_1_F015,01F
Ses01F_script03_1_F016,01F
Ses01F_script03_1_F017,01F
Ses01F_script03_1_F018,01F
Ses01F_script03_1_F019,01F
Ses01F_script03_1_F020,01F
Ses01F_script03_1_F021,01F
Ses01F_script03_1_F022,01F
Ses01F_script03_1_F023,01F
Ses01F_script03_1_F024,01F
Ses01F_script03_1_F025,01F
Ses01F_script03_1_F026,01F
Ses01F_script03_1_F027,01F
Ses01F_script03_1_F028,01F
Ses01F_script03_1_F029,01F
Ses01F_script03_1_F030,01F
Ses01F_script03_1_F031,01F
Ses01F_script03_1_M000,01F
Ses01F_script03_1_M001,01F
Ses01F_script03_1_M002,01F
Ses01F_script03_1_M003,01F
Ses01F_script03_1_M004,01F
Ses01F_script03_1_M005,01F
Ses01F_script03_1_M006,01F
Ses01F_script03_1_M007,01F
Ses01F_script03_1_M008,01F
Ses01F_script03_1_M009,01F
Ses01F_script03_1_M010,01F
Ses01F_script03_1_M011,01F
Ses01F_script03_1_M012,01F
Ses01F_script03_1_M013,01F
Ses01F_script03_1_M014,01F
Ses01F_script03_1_M015,01F
Ses01F_script03_1_M016,01F
Ses01F_script03_1_M017,01F
Ses01F_script03_1_M018,01F
Ses01F_script03_1_M019,01F
Ses01F_script03_1_M020,01F
Ses01F_script03_1_M021,01F
Ses01F_script03_1_M022,01F
Ses01F_script03_1_M023,01F
Ses01F_script03_1_M024,01F
Ses01F_script03_1_M025,01F
Ses01F_script03_1_M026,01F
Ses01F_script03_1_M027,01F
Ses01F_script03_1_M028,01F
Ses01F_script03_1_M029,01F
Ses01F_script03_1_M030,01F
Ses01F_script03_1_M031,01F
Ses01F_script03_1_M032,01F
Ses01F_script03_1_M033,01F
Ses01F_script03_1_M034,01F
Ses01F_script03_1_M035,01F
Ses01F_script03_1_M036,01F
Ses01F_script03_1_M037,01F
Ses01F_script03_1_M038,01F
Ses01F_script03_2_F000,01F
Ses01F_script03_2_F001,01F
Ses01F_script03_2_F002,01F
Ses01F_script03_2_F003,01F
Ses01F_script03_2_F004,01F
Ses01F_script03_2_F005,01F
Ses01F_script03_2_F006,01F
Ses01F_script03_2_F007,01F
Ses01F_script03_2_F008,01F
Ses01F_script03_2_F009,01F
Ses01F_script03_2_F010,01F
Ses01F_script03_2_F011,01F
Ses01F_script03_2_F012,01F
Ses01F_script03_2_F013,01F
Ses01F_script03_2_F014,01F
Ses01F_script03_2_F015,01F
Ses01F_script03_2_F016,01F
Ses01F_script03_2_F017,01F
Ses01F_script03_2_F018,01F
Ses01F_script03_2_F019,01F
Ses01F_script03_2_F020,01F
Ses01F_script03_2_F021,01F
Ses01F_script03_2_F022,01F
Ses01F_script03_2_F023,01F
Ses01F_script03_2_F024,01F
Ses01F_script03_2_F025,01F
Ses01F_script03_2_F026,01F
Ses01F_script03_2_F027,01F
Ses01F_script03_2_F028,01F
Ses01F_script03_2_F029,01F
Ses01F_script03_2_F030,01F
Ses01F_script03_2_F031,01F
Ses01F_script03_2_F032,01F
Ses01F_script03_2_F033,01F
Ses01F_script03_2_F034,01F
Ses01F_script03_2_F035,01F
Ses01F_script03_2_F036,01F
Ses01F_script03_2_F037,01F
Ses01F_script03_2_F038,01F
Ses01F_script03_2_F039,01F
Ses01F_script03_2_F040,01F
Ses01F_script03_2_M000,01F
Ses01F_script03_2_M001,01F
Ses01F_script03_2_M002,01F
Ses01F_script03_2_M003,01F
Ses01F_script03_2_M004,01F
Ses01F_script03_2_M005,01F
Ses01F_script03_2_M006,01F
Ses01F_script03_2_M007,01F
Ses01F_script03_2_M008,01F
Ses01F_script03_2_M009,01F
Ses01F_script03_2_M010,01F
Ses01F_script03_2_M011,01F
Ses01F_script03_2_M012,01F
Ses01F_script03_2_M013,01F
Ses01F_script03_2_M014,01F
Ses01F_script03_2_M015,01F
Ses01F_script03_2_M016,01F
Ses01F_script03_2_M017,01F
Ses01F_script03_2_M018,01F
Ses01F_script03_2_M019,01F
Ses01F_script03_2_M020,01F
Ses01F_script03_2_M021,01F
